Category,Headline,SubHeading
Badminton,Dansk herredouble henter guld ved European Games,"Kim Astrup og Anders Skaarup blev presset i finalen, men hentede guld til Danmark ved European Games"
Badminton,Axelsen og Blichfeldt i finalen,Badmintonspillerne Mia Blichfeldt og Viktor Axelsen er begge klar til at spille om guld ved European Games
Badminton,Astrup og Skaarup klar til finalen,"De danske badmintonspillere har allerede nu sikret Danmark fire medaljer – nu er det blot karaten, der skal afgøres"
Badminton,Topspiller har gennemgået essentiel næseoperation,"Lakshya Sens seneste store individuelle finale var All England 2022, hvor han tabte til Viktor Axelsen"
Badminton,Axelsen leger sig i semifinalen ved European Games,Flere danskere er nu klar til semifinalerne ved European Games
Badminton,Astrup og Skaarup klar til semifinalen,Med en sejr i kvartfinalen er Kim Astrup og Anders Skaarup Rasmussen sikre på minimum bronzemedaljer
Badminton,Axelsen buldrer videre i European Games,Verdens nummer 32 var intet match for Viktor Axelsen ved European Games i Krakow
Badminton,Finsk 'nomade' jubler efter at have sendt Antonsen ud,"Det betyder meget for finske Kalle Koljonen, at han slog Anders Antonsen ud og avancerede ved European Games"
Badminton,"- Katastrofalt. Alle må gerne synes, det er en kæmpe fiasko","Anders Antonsen kalder det en katastrofe og en fiasko, at han nu er ude af European Games"
Badminton,Axelsen ærgerlig på Anders' og Danmarks vegne,"Viktor Axelsens største konkurrent til titlen ved European Games, landsmanden Anders Antonsen, er ude efter gruppespillet"
Badminton,Antonsen i kæmpe fiasko,"Anders Antonsen vidste allerede inden kampen mod finske Kalle Koljonen, at han skulle vinde i to sæt for at gå videre"
Badminton,"Har kniven for struben: - En anderledes størrelse, erkender landstræner",Anders Antonsen befinder sig lidt uventet i en svær situation allerede i gruppespillet
Badminton,"De andre danskere gjorde det, Antonsen ikke formåede",Tirsdag blev det til fem sejre og et enkelt nederlag for de danske badmintonspillere ved European Games
Badminton,Svensker ovenud lykkelig efter sejr over Antonsen,Felix Burestedt håber at forlænge sin karriere med succes ved European Games. Og indtil videre går det godt
Badminton,Vred Antonsen kalder nederlag for en katastrofe,"Anders Antonsen lægger ikke skjul på, hvor voldsomt irriteret han er over sit nederlag. "
Badminton,Antonsen i choknederlag til svensker,Svenskeren spiller i øjeblikket sin sidste turnering som badmintonspiller. 
Badminton,Danmark gør rent bord ved European Games,"Spænding var der ikke meget af, da de danske badmintonspillere var i aktion mod mindre badmintonnationer mandag"
Badminton,Axelsen får perfekt start på gruppespil,Den danske badmintonstjerne er Danmarks største sportsnavn ved det igangværende European Games i Polen
Badminton,"- Jeg er meget overrasket, siger Axelsen",Danskeren har nu vundet turneringen tre gange i træk
Badminton,Axelsen i kæmpe triumf,Den danske verdensetter vandt sikkert i to sæt i en velspillet finale
Badminton,"Axelsen favorit i finalebrag, vurderer ekspert",Men hans indonesiske modstander er bestemt ikke ueffen
Badminton,Axelsen meget overrasket: - Det havde jeg aldrig troet,Den 29-årige dansker havde ikke forventet at stå i en finale så kort tid efter sin skade
Badminton,Overlegen Axelsen klar til stor finale,Den danske herresingle havde ingen problemer mod H. S. Prannoy
Badminton,Axelsen knuser sin modstander,Verdens nummer otte blev fredag eftermiddag – særligt i første sæt – krøllet sammen af Viktor Axelsen
Badminton,- De andre skal passe på – hun er livsfarlig,"Carolina Marín begynder at vise glimt af sit topniveau. Ja, faktisk mere end bare glimt"
Badminton,Suveræn Axelsen klar til kvartfinalen i stor turnering,"Viktor Axelsen havde kun få problemer, da han sikkert spillede sig videre til kvartfinalerne i Indonesia Open.
"
Badminton,"- Jeg er skuffet lige nu, siger Antonsen",Anders Antonsen er ude af Indonesia Open efter nederlag i første runde
Badminton,Stjerne tom i blikket: - Jeg vil stoppe,"Lee Zii Jia kom tidligere på året med en melding, der skabte overskrifter. Nu siger den 25-årige badmintonspiller, at karrieren bliver sat på pause"
Badminton,Hårdt fightende Antonsen ude af stor turnering ,Også herredoublen med Anders Skaarup og Kim Astrup er onsdag ude efter nederlag i tre sæt til tredjeseedede Liu Yuchen og Ou Xuany. 
Badminton,Axelsen-comeback imponerer ekspert,Den danske verdensetter gjorde tirsdag comeback i Super 1000-turneringen Indonesia Open
Badminton,Suverænt comeback af Axelsen,"Viktor Axelsen fik tirsdag comeback, efter han blev skadet under VM for blandede hold i maj. "
Badminton,Ekspert om Antonsen: - Det her giver vinger ,Den danske badmintonspiller har fundet tilbage til sit gode spil efter en frustrerende periode
Badminton,"- Det er fuldstændig vanvittigt, siger ekspert",Mathias Christiansen og Alexandra Bøje vandt Singapore Open
Badminton,Antonsen taber stor finale,"Anthony Ginting var overlegen det meste af kampen, og danskeren kom ikke rigtig i nærheden af sejren"
Badminton,Dansk par jubler efter dramatisk sejr,Mathias Christiansen og Alexandra Bøje tog karrierens klart største sejr
Badminton,Bøje og Christiansen i kæmpe triumf,"Danmarks bedste mixeddouble, Mathias Christiansen og Alexandra Bøje, spillede en imponerende finale"
Badminton,"Axelsen tilbage efter ""mavepuster"": - Den skal have fuld spade","Viktor Axelsen har meldt sig klar til en af de største turneringer på kalenderen i form af Indonesia Open, efter han for nylig blev ramt af en skade"
Badminton,Rørt Antonsen efter finaleplads: - Det er fuldstændig vanvittigt,Søndag venter Anthony Ginting ved finalen af Singapore Open
