Category,Headline,SubHeading,Link
Fodbold,Premier League: United – Luton,"Både Rasmus Højlund og Christian Eriksen var med i startopstillingen, da United vandt 1-0 over Luton, men begge danskere forlod kampen med skader.  ",https://sport.tv2.dk/live/fodbold/2023-11-11-premier-league-united-luton
Fodbold,Eriksen og Højlund udgår med skader før vigtige landskampe,"Det vides endnu ikke, hvor skidt det står til med de danske landsholdsspillere.",https://sport.tv2.dk/fodbold/2023-11-11-eriksen-og-hoejlund-udgaar-med-skader-foer-vigtige-landskampe
Fodbold,HB Køge dukker FCN og skaber trængsel i Kvindeligaen,"Alyssa Walker sikrede HB Køge 1-0 over FC Nordsjælland, og tre hold har nu 20 point i toppen.",https://sport.tv2.dk/fodbold/2023-11-11-hb-koege-dukker-fcn-og-skaber-traengsel-i-kvindeligaen
Fodbold,Den tidligere superligaspiller Raphael Dwamena er død under kamp,Albanien er i sorg over det tragiske dødsfald.,https://sport.tv2.dk/fodbold/2023-11-11-den-tidligere-superligaspiller-raphael-dwamena-er-doed-under-kamp
Håndbold,Tidligere Odense-spiller kæmper hård kamp mod kræft,Den norske bagspiller stoppede karrieren tidligere på året.,https://sport.tv2.dk/haandbold/2023-11-11-tidligere-odense-spiller-kaemper-haard-kamp-mod-kraeft
Fodbold,Højlund sender klar besked om måltørke,"Den danske Manchester United-angriber har været målfarlig i Champions League, men ikke i den hjemlige liga.",https://sport.tv2.dk/fodbold/2023-11-11-hoejlund-sender-klar-besked-om-maaltoerke
Fodbold,FCK-stopper ude resten af året,"Et nyt indgreb i knæet viste, at Davit Khocholava er nødt til at holde pause resten af året.",https://sport.tv2.dk/fodbold/2023-11-11-fck-stopper-ude-resten-af-aaret
Ishockey,Ishockeymænd rejser sig og giver landstræner første sejr,Det danske ishockeylandshold besejrede Slovakiet 4-3 i den anden kamp i Deutschland Cup.,https://sport.tv2.dk/ishockey/2023-11-11-ishockeymaend-rejser-sig-og-giver-landstraener-foerste-sejr
Badminton,- Jeg er utroligt glad for at se ham sådan,Kento Momota er klar til sin første finale i mere end et år.,https://sport.tv2.dk/badminton/2023-11-11-jeg-er-utroligt-glad-for-at-se-ham-saadan
Fodbold,Politifolk og tilskuere såret i sammenstød,Kamp i St. Pauli måtte afbrydes på grund af ballade. Begge fangrupper anklager politiet for voldsom adfærd.,https://sport.tv2.dk/fodbold/2023-11-11-politifolk-og-tilskuere-saaret-i-sammenstoed
Fodbold,Angriber udskrevet efter hjertestop,Bas Dost har forladt hospitalet efter sit kollaps på banen. Han har fået indopereret en ICD-enhed.,https://sport.tv2.dk/fodbold/2023-11-11-angriber-udskrevet-efter-hjertestop
Badminton,Vittinghus havde håbet på mere i karrieren,Hans-Kristian Vittinghus har spillet sin sidste internationale kamp. ,https://sport.tv2.dk/badminton/2023-11-11-vittinghus-havde-haabet-paa-mere-i-karrieren
Skisport,Kontroversiel premiere aflyst,Lørdagens omdiskuterede styrtløb på Matterhorn-gletsjeren er aflyst på grund af vind og kraftigt snefald.,https://sport.tv2.dk/skisport/2023-11-11-kontroversiel-premiere-aflyst
Fodbold,Klopp roser danskerklub,Thomas Franks mandskab får ros med på vejen af Liverpools Jürgen Klopp før søndagens opgør.,https://sport.tv2.dk/fodbold/2023-11-11-klopp-roser-danskerklub
Krigen i Ukraine,"Ukrainske OL-håb kæmper for deres venner, der har mistet livet i krigen","Ukrainske OL-håb er vokset op med en fortælling om politik og sport, som er krakeleret. ",https://sport.tv2.dk/2023-11-09-ukrainske-ol-haab-kaemper-for-deres-venner-der-har-mistet-livet-i-krigen
Cykling,"Vingegaard er blandt tre danskere, der bør juble over VM-ruten, siger ekspert",Danmark står med gode medaljechancer ved næste års VM. ,https://sport.tv2.dk/cykling/2023-11-09-vingegaard-er-blandt-tre-danskere-der-boer-juble-over-vm-ruten-siger-ekspert
Fodbold,Rekord-Højlund vil lære af Cristiano Ronaldo,"Rasmus Højlund åbner op om, hvordan idolet Cristiano Ronaldo altid har været en stor inspiration.",https://sport.tv2.dk/fodbold/2023-11-11-rekord-hoejlund-vil-laere-af-cristiano-ronaldo
Tennis,Djokovic om femte duel med Rune: Det bliver tæt igen,Novak Djokovic roser Holger Rune for danskerens fremgang og forudser en tæt duel søndag.,https://sport.tv2.dk/tennis/2023-11-10-djokovic-om-femte-duel-med-rune-det-bliver-taet-igen
Fodbold,Wind og Mæhle fortsætter nedtur med stor afklapsning,Wolfsburg er uden sejr i fem ligakampe efter sit 0-4-nederlag hos Gladbach.,https://sport.tv2.dk/fodbold/2023-11-10-wind-og-maehle-fortsaetter-nedtur-med-stor-afklapsning
Fodbold,"Silkeborg-træner langer ud efter ""håbløse"" regler","Kent Nielsen ærgrer sig over de handsregler, som gav Silkeborg et straffespark i 1-1-kampen mod Randers.",https://sport.tv2.dk/fodbold/2023-11-10-silkeborg-traener-langer-ud-efter-haabloese-regler
Tennis,Ærlig Rune storroser Becker: - Var langt nede i sækken,"Den danske tennisspiller har løftet sig mentalt med Boris Becker ved sin side, og serven er også forbedret, lyder det.",https://sport.tv2.dk/tennis/2023-11-10-aerlig-rune-storroser-becker-var-langt-nede-i-saekken
