Category,Headline,SubHeading
VM fodbold,Filippinerne skaber VM-sensation,New Zealand kunne ikke leve op til præstationen mod Norge og tabte meget overraskende til Filippinerne
VM fodbold,Fra Fårup Sommerland til VM-helt – dansk matchvinder i vild rejse,"For fem år siden lå det ikke i kortene, at Vangsgaard skulle blive Danmarks matchvinder mod Kina. Dengang spillede hun nemlig ikke engang fodbold"
VM fodbold,En epidemi af korsbåndsskader plager kvindefodbold og VM ,"VM-slutrunden spilles uden nogle af fodboldens største stjerne, der sidder ude med korsbåndsskader"
VM fodbold,Danmark vinder VM-åbner efter sen scoring,Kina voldte danskerne problemer i store dele af kampen
VM fodbold,England med skuffende start på VM trods sejr,Englands fodboldkvinder vandt 1-0 over Haiti på en straffesparkscoring af Georgia Stanway
VM fodbold,"Her er alt, du skal vide om Danmarks første VM-modstander","De forsvarende asiatiske mestre håber på, at de kan sætte en stopper for det danske landshold ved VM i Australien og New Zealand"
VM fodbold,Danmark forventer en tæt kamp mod Kina ,"Det er et struktureret og velorganiseret kinesisk hold, som venter Kvindelandsholdet i Danmarks første VM-kamp i 16 år"
VM fodbold,"Engelsk ekspert mener, at Danmark kan overraske ved VM","Danmark er havnet i en svær gruppe ved VM, men bør ifølge en engelsk journalist gå videre fra gruppen"
VM fodbold,Der skal resultater til – for kvindefodboldens skyld og for at bevare den folkelige interesse,Kvindefodboldens udvikling er omdrejningspunktet i denne kommentar fra TV 2 Sports fodboldkommentator Flemming Toft
VM fodbold,"- Amatøragtigt, siger landstræner om forhold",Hollands fodboldlandshold træner på en hård cricketbane med øget skaderisiko forud for VM-kamp mod Portugal
VM fodbold,Søvnløshed og frustration martrede VM-danskers eventyr,"At et professionelt fodboldliv ikke altid er en dans på roser, er et vigtigt budskab for Sanne Troelsgaard"
VM fodbold,New Zealand overrasker i VM-åbning,"VM-værterne fra New Zealand vandt for første gang nogensinde en VM-kamp, da Norge blev slået 1-0 i Auckland"
VM fodbold,Antallet af solgte billetter til kvindernes VM slår rekord,Torsdag starter VM i Australien og New Zealand. Aldrig har slutrunde på kvindesiden solgt så mange billetter
VM fodbold,Fem stjerner du skal holde øje med ved VM,"Den største scene kalder på de største stjerner. Vi giver jer fem profiler, som er værd at holde et ekstra øje med under VM i kvindefodbold. "
VM fodbold,Her er de største VM-favoritter,"Kvindernes VM i fodbold nærmer sig, og derfor giver vi jer de tre største favoritter og outsiderne til et af de mest åbne verdensmesterskaber"
VM fodbold,Sponsor deler 20.000 gratis billetter til fodbold-VM ud,"Det går trægt med billetsalget til VM-kampene i New Zealand, og en sponsor forsøger nu at højne interessen"
